Name,Prefix,Slot,Complexity,Perk 1,Perk 2,Skill,Rarity,Materials,Cost,Effects,Weight,Mod Applies to list
.308 Reciever,.308,Recievers,6,Gun Nut 4,,Repair,Uncommon,Common x 7 Uncommon x 5 Rare x 3,40,"Set 7 CD Damage, Ammo .308",4,"Combat Rifle, Pipe Revolver"
.45 Reciever,.45,Recievers,4,Gun Nut 2,,Repair,Uncommon,Common x 5 Uncommon x 3,19,"Set 4 CD Damage, Ammo .45",2,Pipe Gun
.50 Reciever,.50,Recievers,6,Gun Nut 4,,Repair,Uncommon,Common x 7 Uncommon x 5 Rare x 3,30,"Set 8 CD Damage, Ammo .50",4,"Hunting Rifle, Pipe Bolt-Action"
Automatic Piston,Automatic,Recievers,4,Gun Nut 2,,Repair,Uncommon,Common x 5 Uncommon x 3,75,"plus 2 Fire Rate, minus 1 Range",2,Railway Rifle
Snubnose,Snub-Noses,Barrels,2,,,Repair,Common,Common x 3,,gain Inaccurate,-1,".44 Pistol, Submachine Gun, Pipe Bolt-Action, Syringer"
Bull Barrel,Bull Barrel,Barrels,5,Gun Nut 3,,Repair,Uncommon,Common x 6 Uncommon x 4 Rare x 2,10,gain Reliable,,.44 Pistol
Long,Long,Barrels,3,Gun Nut 1,,Repair,Uncommon,Common x 4 Uncommon x 2,20,plus 1 Range,1,"10mm Pistol, Assault Rifle, Combat Rifle, Hunting Rifle, Combat Shotgun, Double-Barrel Shotgun, Pipe Bolt-Action, Pipe Gun, Pipe Revolver, Railway Rifle, Syringer"
Ported,Ported,Barrels,6,Gun Nut 4,,Repair,Uncommon,Common x 7 Uncommon x 5 Rare x 3,35,"plus 1 Range, plus 1 Fire Rate",1,"10mm Pistol, Assault Rifle, Combat Rifle, Hunting Rifle, Combat Shotgun, Pipe Bolt-Action, Pipe Gun, Pipe Revolver"
Vented,Vented,Barrels,6,Gun Nut 4,,Repair,Uncommon,Common x 7 Uncommon x 5 Rare x 3,36,"plus 1 Range, plus 1 Fire Rate, gain Reliable",1,"Assault Rifle, Combat Rifle, Hunting Rifle"
Sawed-Off,Sawed-Off,Barrels,2,,,Repair,Common,Common x 3,3,"gain Close Quarters, lose Two-Handed",-2,Double-Barrel Shotgun
Shielded Barrel,Shielded,Barrels,?5,Gun Nut 3,,Repair,?Uncommon,?Common x 6 Uncommon x 4 Rare x 2,37,plus 1 CD Damage,,Gauss Rifle
Finned,Finned,Barrels,4,Gun Nut 2,,Repair,Uncommon,Common x 5 Uncommon x 3,15,"plus 1 CD Damage, plus 1 Range",2,"Pipe Bolt-Action, Pipe Gun, Pipe Revolver"
Large Magazine,High Capacity,Magazines,?4,Gun Nut 2,,?Repair,?Common,?Common x 5 Uncommon x 3,-3,"plus 1 Fire Rate, gain Unreliable",1,"10mm Pistol, Assault Rifle, Combat Rifle, Hunting Rifle, Submachine Gun, Combat Shotgun, Pipe Gun"
Quick-Eject Mag,Quick,Magazines,?3,Gun Nut 1,,?Repair,?Common,?Common x 4 Uncommon x 2,8,gain Reliable,,"10mm Pistol, Assault Rifle, Combat Rifle, Hunting Rifle, Submachine Gun, Combat Shotgun, Pipe Gun"
Large Quick-Eject Mag,Quick High Capacity,Magazines,?5,Gun Nut 2,,?Repair,?Uncommon,?Common x 6 Uncommon x 4 Rare x 2,23,plus 1 Fire Rate,1,"10mm Pistol, Assault Rifle, Combat Rifle, Hunting Rifle, Submachine Gun, Combat Shotgun, Pipe Gun"
Comfort Grip,Comfort,Grips,2,,,Repair,Common,Common x 3,6,lose Inaccurate,,".44 Pistol, 10mm Pistol"
Sharpshooter's Grip,Sharpshooter's,Grips,3,Gun Nut 1,,Repair,Uncommon,Common x 4 Uncommon x 2,10,"gain Piercing 1, lose Inaccurate",,"10mm Pistol, Pipe Bolt-Action, Pipe Gun, Pipe Revolver"
Full Stock,Full Stock,Stocks,2,,,Repair,Common,Common x 3,10,"gain Two-Handed, lose Inaccurate",1,"Assault Rifle, Combat Rifle, Hunting Rifle, Submachine Gun, Combat Shotgun, Double-Barrel Shotgun, Pipe Bolt-Action, Pipe Gun, Pipe Revolver"
Marksman's Stock,Markman's,Stocks,4,Gun Nut 2,,Repair,Uncommon,Common x 5 Uncommon x 3,20,"gain Two-Handed, gain Accurate, lose Inaccurate",2,"Assault Rifle, Combat Rifle, Hunting Rifle, Combat Shotgun, Pipe Bolt-Action, Pipe Gun, Pipe Revolver, Syringer"
Recoil Compensating Stock,Recoil Compensated,Stocks,5,Gun Nut 3,,Repair,Uncommon,Common x 6 Uncommon x 4 Rare x 2,3,"gain Two-Handed, plus 1 Fire Rate, lose Inaccurate",2,"Assault Rifle, Combat Rifle, Gauss Rifle, Submachine Gun, Combat Shotgun, Pipe Bolt-Action, Pipe Gun, Pipe Revolver, Railway Rifle, Syringer"
Full Capacitors,,Capacitors,?5,?Science! 2,,?Repair,?Uncommon,?Common x 6 Uncommon x 4 Rare x 2,?40,"plus 1 CD Damage, gain Vicious",?3,Gauss Rifle
Capacitor Boosting Coil,,Capacitors,?2,?Science! 1,,?Repair,?Uncommon,?Common x 3,?35,"plus 1 CD Damage, minus 1 Fire Rate",?1,Gauss Rifle
Reflex Sight,Tactical,Sights,2,,,Repair,Common,Common x 3,14,gain Re-roll Hit Location,,".44 Pistol, 10mm Pistol, Assault Rifle, Combat Rifle, Gauss Rifle, Hunting Rifle, Submachine Gun, Combat Shotgun, Double-Barrel Shotgun, Pipe Bolt-Action, Pipe Gun, Pipe Revolver, Railway Rifle, Syringer"
Short Scope,Scoped,Sights,2,,,Repair,Common,Common x 3,11,gain Accurate,1,".44 Pistol, Assault Rifle, Combat Rifle, Gauss Rifle, Hunting Rifle, Combat Shotgun, Pipe Bolt-Action, Pipe Gun, Pipe Revolver, Railway Rifle, Syringer"
Long Scope,Long Scoped,Sights,4,Science! 2,,Repair,Uncommon,Common x 5 Uncommon x 3,29,"gain Accurate, plus 1 Range",1,"Assault Rifle, Combat Rifle, Gauss Rifle, Hunting Rifle, Combat Shotgun, Pipe Bolt-Action, Pipe Gun, Pipe Revolver, Railway Rifle, Syringer"
Short Night Vision Scope,Night Vision,Sights,4,Science! 2,,Repair,Uncommon,Common x 5 Uncommon x 3,38,"gain Accurate, gain Night Vision",1,"Assault Rifle, Combat Rifle, Gauss Rifle, Hunting Rifle, Combat Shotgun, Pipe Bolt-Action, Pipe Gun, Pipe Revolver, Railway Rifle, Syringer"
Long Night Vision Scope,Long Night Vision,Sights,5,Science! 3,,Repair,Uncommon,Common x 6 Uncommon x 4 Rare x 2,50,"gain Accurate, gain Night Vision, plus 1 Range",1,"Assault Rifle, Combat Rifle, Gauss Rifle, Hunting Rifle, Combat Shotgun, Pipe Bolt-Action, Pipe Gun, Pipe Revolver, Railway Rifle, Syringer"
Recon Scope,Recon,Sights,5,Science! 3,,Repair ,Uncommon,Common x 6 Uncommon x 4 Rare x 2,59,"gain Accurate, gain Recon",1,".44 Pistol, 10mm Pistol, Assault Rifle, Combat Rifle, Gauss Rifle, Hunting Rifle, Combat Shotgun, Pipe Bolt-Action, Pipe Gun, Pipe Revolver, Railway Rifle, Syringer"
Bayonet,Beyoneted,Muzzles,2,,,Repair,Common,Common x 3,10,gain Bayonet,2,"Combat Rifle, Hunting Rifle, Combat Shotgun, Pipe Bolt-Action, Pipe Gun, Pipe Revolver, Railway Rifle"
Compensator,Componsated,Muzzles,3,Gun Nut 1,,Repair,Uncommon,Common x 4 Uncommon x 2,15,lose Inaccurate,1,"10mm Pistol, Assault Rifle, Combat Rifle, Submachine Gun, Combat Shotgun, Pipe Bolt-Action, Pipe Gun, Pipe Revolver"
Muzzle Break,Muzzled,Muzzles,3,Gun Nut 1,,Repair,Uncommon,Common x 4 Uncommon x 2,30,"lose Inaccurate, plus 1 Fire Rate",1,"Submachine Gun, Combat Shotgun, Double-Barrel Shotgun, Pipe Bolt-Action, Pipe Gun, Pipe Revolver"
Suppressor,Supressed,Muzzles,4,Gun Nut 2,,Repair,Uncommon,Common x 5 Uncommon x 3,45,gain Supressed,2,"10mm Pistol, Assault Rifle, Combat Rifle, Gauss Rifle, Hunting Rifle, Submachine Gun, Combat Shotgun, Pipe Bolt-Action, Pipe Gun, Pipe Revolver"
Beta Wave Tuner,,Capacitors,2,,,Science,Common,Common x 3,30,gain Persistent,,"Institute Laser, Laser Gun, Plasma Gun"
Boosted Capacitor,,Capacitors,2,,,Science,Common,Common x 3,35,"plus 1 CD Damage, minus 1 Fire Rate",,"Institute Laser, Laser Gun, Plasma Gun"
Photon Exciter,,Capacitors,3,Science! 1,,Science,Uncommon,Common x 4 Uncommon x 2,30,gain Vicious,,"Institute Laser, Laser Gun, Plasma Gun"
Photon Agitator,,Capacitors,4,Science! 2,,Science,Uncommon,Common x 5 Uncommon x 3,35,"plus 1 CD Damage, gain Vicious",,"Institute Laser, Laser Gun, Plasma Gun"
Three-Crank Capacitor,,Capacitors,2,,,Science,Common,Common x 3,4,"plus 1 CD Damage, 3 ammo per attack",,Laser Musket
Four-Crank Capacitor,,Capacitors,3,Science! 1,,Science,Uncommon,Common x 4 Uncommon x 2,8,"plus 2 CD Damage, 4 ammo per attack",1,Laser Musket
Five-Crank Capacitor,,Capacitors,4,Science! 2,,Science,Uncommon,Common x 5 Uncommon x 3,12,"plus 3 CD Damage, 5 ammo per attack",1,Laser Musket
Six-Crank Capacitor,,Capacitors,5,Science! 3,,Science,Uncommon,Common x 6 Uncommon x 4 Rare x 2,16,"plus 4 CD Damage, 6 ammo per attack",2,Laser Musket
Bracketed Short Barrel,,Barrels,3,,,Science,Common,Common x 4 Uncommon x 2,6,Adds Muzzle Mod Slot,,Laser Musket
Long Barrel,,Barrels,3,,,Science,Common,Common x 4 Uncommon x 2,20,"plus 1 Range, lose Close-Quarters",2,"Institute Laser, Laser Musket, Laser Gun"
Splitter,,Barrels,3,,,Science,Common,Common x 4 Uncommon x 2,31,"minus 1 CD Damage, gain Spread, Inaccurate",1,Plasma Gun
Automatic Barrel,,Barrels,4,Science! 1,,Science,Uncommon,Common x 5 Uncommon x 3,24,"minus 1 CD Damage, plus 1 Range, 1 Fire Rate, lose Close Quarters",1,"Institute Laser, Laser Gun, Plasma Gun"
Bracketed Long Barrel,,Barrels,4,Science! 1,,Science,Uncommon,Common x 5 Uncommon x 3,25,"Adds Muzzle Mod Slot, plus 1 Range, lose Close Quarters",2,Laser Musket
Improved Barrel,,Barrels,4,Science! 1,,Science,Uncommon,Common x 5 Uncommon x 3,26,plus 1 CD Damage,1,"Institute Laser, Laser Gun, Plasma Gun"
Sniper Barrel,,Barrels,4,Science! 1,,Science,Uncommon,Common x 5 Uncommon x 3,30,"plus 2 CD Damage, 1 Range, minus 1 Fire Rate, lose Close Quarters",2,"Laser Gun, Plasma Gun"
Flamer Barrel,,Barrels,5,Science! 2,,Science,Uncommon,Common x 6 Uncommon x 4 Rare x 2,35,"minus 2 CD Damage, 1 Range, plus 2 Fire Rate, gain Burst, Spread, Innacurate",1,Plasma Gun
Sharpshooter's Grip,,Grips,3,Gun Nut 1,,Repair,Uncommon,Common x 4 Uncommon x 2,10,"plus Piercing 1, lose Inaccurate",,Laser Gun
Standard Stock,,Stocks,2,,,Repair,Common,Common x 3,10,"gain Two-Handed, lose Inaccurate, Close Quarters",1,"Institute Laser, Laser Gun, Plasma Gun"
Full Stock,,Stocks,2,,,Repair,Common,Common x 3,15,"gain Piercing 1, lose Close Quarters",1,Laser Musket
Marksman's Stock,,Stocks,4,Gun Nut 2,,Repair,Uncommon,Common x 5 Uncommon x 3,20,"gain Two-Handed, Accurate, lose Inaccurate, Close Quarters",2,"Laser Gun, Plasma Gun"
Recoil Compensating,,Stocks,5,Gun Nut 3,,Repair,Uncommon,Common x 6 Uncommon x 4 Rare x 2,3,"plus 1 Range, gain Two-Handed, lose Inaccurate, Close Quarters",2,"Laser Gun, Plasma Gun"
Reflex Sight,,Sights,2,,,Repair,Common,Common x 3,14,gain Re-roll Hit Location,,"Institute Laser, Laser Musket, Laser Gun, Plasma Gun"
Short Scope,,Sights,2,,,Repair,Common,Common x 3,11,gain Accurate,1,"Institute Laser, Laser Musket, Laser Gun, Plasma Gun"
Long Scope,,Sights,4,Science! 2,,Repair,Uncommon,Common x 5 Uncommon x 3,29,"gain Accurate, plus 1 Range",1,"Institute Laser, Laser Musket, Laser Gun, Plasma Gun"
Short Night Vision Scope,,Sights,4,Science! 2,,Repair,Uncommon,Common x 5 Uncommon x 3,38,"gain Accurate, Night Vision",1,"Institute Laser, Laser Musket, Laser Gun, Plasma Gun"
Long Night Vision Scope,,Sights,5,Science! 3,,Repair,Uncommon,Common x 6 Uncommon x 4 Rare x 2,50,"gain Accurate, Night Vision, plus 1 Range",1,"Institute Laser, Laser Musket, Laser Gun, Plasma Gun"
Recon Scope,,Sights,5,Science! 3,,Repair,Uncommon,Common x 6 Uncommon x 4 Rare x 2,59,"gain Accurate, gain Recon",1,"Institute Laser, Laser Musket, Laser Gun, Plasma Gun"
Beam Splitter,,Muzzles,4,Science! 1,,Science,Uncommon,Common x 5 Uncommon x 3,15,"minus 1 CD Damage, 1 Fire Rate, 1 Range, gain Spread, Inaccurate",1,"Institute Laser, Laser Musket, Laser Gun"
Beam Focuser,,Muzzles,4,Science! 1,,Science,Uncommon,Common x 5 Uncommon x 3,20,plus 1 Range,1,"Institute Laser, Laser Musket, Laser Gun"
Gyro Compensating Lens,,Muzzles,4,Science! 1,,Science,Uncommon,Common x 5 Uncommon x 3,25,"plus 1 Fire Rate, lose Inaccurate",1,"Institute Laser, Laser Musket, Laser Gun"
Gamma Gun Mods,,,,,,,,,,,,
Gamma Gun,,,,,,,5,,156,"3CD Radiation, Piercing 1, Stun, Blast, Inaccurate, Range M, Fire Rate 1",3,Gamma Gun
Deep Dish,,,6,Science! 4,,Science,Uncommon,Common x 7 Uncommon x 5 Rare x 3,72,"plus 1 CD Damage, 1 Range, Dish Mod",2,Gamma Gun
Electric Signal Carrier Antennae,,,5,Science! 3,,Science,Uncommon,Common x 6 Uncommon x 4 Rare x 2,30,"Set 7 CD Damage, Energy Damage, gain Radioactive, Muzzle Mod",,Gamma Gun
Signal Repeater,,,6,Science! 4,,Science,Uncommon,Common x 7 Uncommon x 5 Rare x 3,60,"plus 2 Fire Rate, gain Burst, remove Blast, Muzzle Mod",,Gamma Gun
Flamer Mods,,,,,,,,,,,,
Flamer,,,,,,,3,,137,"3CD Energy, Burst, Persistent, Spread, Debilitating, Inaccurate, 2Handed, Range C, Fire Rate 4",16,
Napalm Fuel,,,3,,,Repair,Common,Common x 4 Uncommon x 2,59,plus 1 CD Damage,7,Flamer
Long Barrel,,,3,,,Repair,Common,Common x 4 Uncommon x 2,28,lose Inaccurate,2,Flamer
Large Tank,,,3,,,Repair,Common,Common x 4 Uncommon x 2,28,plus 1 Fire Rate,3,Flamer
Huge Tank,,,4,,,Repair,Common,Common x 5 Uncommon x 3,34,plus 2 Fire Rate,6,Flamer
Compression Nozzle,,,3,,,Repair,Common,Common x 4 Uncommon x 2,22,plus 1 CD Damage,,Flamer
Vaporization Nozzle,,,4,,,Repair,Common,Common x 5 Uncommon x 3,47,"plus 1 CD Damage, gain Vicious",,Flamer
Gatling Laser Mods,,,,,,,,,,,,
Gatling Laser,,,,,,,3,,804,"3CD Energy, Burst, Piercing 1, Gatling, Inaccurate, 2Handed, Range M, Fire Rate 6",19,
Photon Exciter,,,6,Science! 3,,Science,Uncommon,Common x 7 Uncommon x 5 Rare x 3,19,gain Vicious,1,
Beta Wave Tuner,,,4,,,Science,Common,Common x 5 Uncommon x 3,57,gain Persistent,1,
Boosted Capacitor,,,4,,,Science,Common,Common x 5 Uncommon x 3,94,plus 1 CD Damage,1,
Photon Agitator,,,6,Science! 3,,Science,Uncommon,Common x 7 Uncommon x 5 Rare x 3,132,"plus 1 CD Damage, gain Vicious",3,
Charging Barrels,,,7,Science! 4,,Science,Uncommon,Common x 8 Uncommon x 6 Rare x 4,357,"plus 4 CD Damage, 1 Range, minus 3 Fire Rate",10,
Reflex Sight,,,7,Science! 4,,Science,Uncommon,Common x 8 Uncommon x 6 Rare x 4,169,lose Inaccurate,1,
Beam Focuser,,,4,,,Science,Common,Common x 5 Uncommon x 3,22,"plus 1 Range, gain Piercing 1",,
Junk Jet Mods,,,,,,,,,,,,
Junk Jet,,,,,,,3,,285,"6CD Phys, 2Handed, Range M, Fire Rate 1",30,
Long Barrel,,,3,Gun Nut 1,,Repair,Uncommon,Common x 4 Uncommon x 2,20,plus 1 Range,2,
Recoil Compensating Stock,,,2,,,Repair,Common,Common x 3,40,plus 1 Fire Rate,2,
Gunner Sight,,,2,,,Repair,Common,Common x 3,5,gain Re-roll Hit Location,1,
Electrification Module,,,6,Gun Nut 2,Science! 1,Repair,Uncommon,Common x 7 Uncommon x 5 Rare x 3,70,"gain Vicious, Energy Damage",1,
Ignition Module,,,7,Gun Nut 3,Science! 1,Repair,Uncommon,Common x 8 Uncommon x 6 Rare x 4,130,gain Persistent (Energy),1,
Minigun Mods,,,,,,,,,,,,
Minigun,,,,,,,2,,382,"3CD Phys, Burst, Spread, Gatling, Inaccurate, 2Handed, Range M, Fire Rate 5",27,
Accelerated Barrel,,,5,Gun Nut 3,,Repair,Uncommon,Common x 6 Uncommon x 4 Rare x 2,45,"plus 1 CD Damage, 1 Fire Rate, minus 1 Range",5,
Tri-Barrel,,,6,Gun Nut 4,,Repair,Uncommon,Common x 7 Uncommon x 5 Rare x 3,75,"plus 2 CD Damage, minus 2 Fire Rate",3,
Gunner Sight,,,2,,,Repair,Common,Common x 3,68,lose Inaccurate,1,
Shredder,,,4,Gun Nut 2 ,,Repair,Uncommon,Common x 5 Uncommon x 3,5,gain Melee Weapon with CD Damage equal to Fire Rate Phys,5,
Missile Launcher Mods,,,,,,,,,,,,
Missile Launcher,,,,,,,4,,314,"11CD Phys, Blast, 2Handed, Range L, Fire Rate 0",21,
Triple Barrel,,,4,Gun Nut 2,,Repair,Uncommon,Common x 5 Uncommon x 3,143,plus 1 Fire Rate,16,
Quad Barrel,,,5,Gun Nut 3,,Repair,Uncommon,Common x 6 Uncommon x 4 Rare x 2,218,plus 2 Fire Rate,20,
Scope,,,4,Gun Nut 2,,Repair,Uncommon,Common x 5 Uncommon x 3,143,gain Accurate,6,
Night Vision Scope,,,6,Gun Nut 4,Science! 1,Repair,Uncommon,Common x 7 Uncommon x 5 Rare x 3,248,"gain Accurate, Night Vision",6,
Targeting Computer,,,6,Gun Nut 2,Science! 2,Repair,Uncommon,Common x 7 Uncommon x 5 Rare x 3,293,Aim ignores cover and conveys bonus for next future shot as well during scene,7,
Bayonet,,,2,,,Repair,Common,Common x 3,30,gain Melee Weapon with 4 CD Damage Piercing 1 Phys,1,
Stabilizer,,,4,Gun Nut 2,,Repair,Uncommon,Common x 5 Uncommon x 3,60,gain Piercing 1,2,
Melee Weapons,,,,,,,,,,All Melee Weapon type unless specifed as Unarmed,,
Unarmed Strike,,,,,,,,,,"Unarmed, 2CD Phys",,
Handy Rock,,,,,,,,,,"Unarmed, 2CD Phys, Vicious, Thrown C",1,
Gun Bash 1 handed,,,,,,,,,,"2CD Phys, Stun, Qualities of gun",,
Gun Bash 2 handed,,,,,,,,,,"3CD Phys, Stun, Qualities of gun",,
Sword,,,,,,,2,,50,"4CD Phys, Piercing 1, Parry",3,
Combat Knife,,,,,,,1,,25,"3CD Phys, Piercing 1",1,
Machete,,,,,,,1,,25,"3CD Phys, Piericng 1",2,
Ripper,,,,,,,2,,50,"4CD Phys, Vicious",6,
Shishkebab,,,,,,,3,,200,"5CD Energy, Piercing 1, Parry",3,
Switchblade,,,,,,,0,,20,"2CD Phys Piercing 1, Concealed",1,
Baseball Bat,,,,,,,1,,25,"4CD Phys, Two-Handed",3,
Aluminum Baseball Bat,,,,,,,2,,32,"5CD Phys, Two-Handed",2,
Board,,,,,,,0,,20,"4CD Phys, Two-Handed",3,
Lead Pipe,,,,,,,0,,15,3CD Phys,3,
Pipe Wrench,,,,,,,1,,30,3CD Phys,2,
Pool Cue,,,,,,,0,,10,"3CD Phys, Two-Handed",1,
Rolling Pin,,,,,,,0,,10,3CD Phys,1,
Baton,,,,,,,1,,15,3CD Phys,2,
Sledgehammer,,,,,,,2,,40,"5CD Phys, ?Two-Handed",12,
Super Sledge,,,,,,,3,,180,"6CD Phys, Two-Handed, Breaking",20,
Tire Iron,,,,,,,1,,25,3CD Phys,2,
Walking Cane,,,,,,,0,,10,3CD Phys,2,
Boxing Glove,,,,,,,1,,10,"Unarmed, 3CD Phys, Stun",1,
Deathclaw Gauntlet,,,,,,,3,,75,"Unarmed, 5CD Phys, Piercing 1",10,
Knuckles,,,,,,,1,,10,"Unarmed, 3CD Phys Concealed",<1,
Power Fist,,,,,,,2,,100,"Unarmed, 4CD Phys, Stun",4,
Melee Weapon Mods,,,,,,,,,,,,
Sword Mods,,,,,,,,,,,,
Sword,,,,,,,2,,50,"4CD Phys, Piercing 1, Parry",3,
Serrated Blade,,,3,Blacksmith 2,,Repair,Uncommon,Common x 4 Uncommon x 2,25,gain persistent,,
Electrified Blade,,,4,Blacksmith 2,Science! 1,Repair,Uncommon,Common x 5 Uncommon x 3,50,"plus 1 CD Damage, gains Energy damage",,
Electrified Serrated Blade,,,5,Blacksmith 3,Science! 1,Repair,Uncommon,Common x 6 Uncommon x 4 Rare x 2,75,"plus 1 CD Damage, gains Energy damage, Persistent (physical)",,
Stun Pack,,,5,Blacksmith 3,Science! 1,Repair,Uncommon,Common x 6 Uncommon x 4 Rare x 2,100,"plus 2 CD Damage, gains Energy damage, Stun",,
Combat Knife Mods,,,,,,,,,,,,
Combat Knife,,,,,,,1,,25,"3CD Phys, Piercing 1",1,
Serrated Blade,,,3,Blacksmith 1,,Repair,Uncommon,Common x 4 Uncommon x 2,12,"plus 1 CD Damage, gains Persistent",,
Stealth Blade,,,4,Blacksmith 2,,Repair,Uncommon,Common x 5 Uncommon x 3,18,"plus 1 CD Damage, 2 CD Damage on Steak Attacks, gains Persistent",,
Machete Mods,,,,,,,,,,,,
Machete,,,,,,,1,,25,"3CD Phys, Piericng 1",2,
Serrated Blade,,,3,Blacksmith 1,,Repair,Uncommon,Common x 4 Uncommon x 2,12,"plus 2 CD Damage, gains Persistent",,
Ripper Mods,,,,,,,,,,,,
Ripper,,,,,,,2,,50,"4CD Phys, Vicious",6,
Curved Blade,,,2,,,Repair,Common,Common x 3,15,"plus 1 CD Damage, On succesful attack, spend 2 AP to disarm 1 weapon",1,
Extended Blade,,,5,Blacksmith 3,,Repair,Uncommon,Common x 6 Uncommon x 4 Rare x 2,25,"plus 1 CD Damage, gain persistent",3,
Shishkebab Mods,,,,,,,,,,,,
Shishkebab,,,,,,,3,,200,"5CD Energy, Piercing 1, Parry",3,
Extra Flame Jets,,,5,Blacksmith 3,,Repair,Uncommon,Common x 6 Uncommon x 4 Rare x 2,100,"plus 1 CD Damage, gain Persistent",,
Switchblade Mods,,,,,,,,,,,,
Switchblade,,,,,,,0,,20,"2CD Phys Piercing 1, Concealed",1,
Serrated Blade,,,3,Blacksmtih 1,,Repair,Uncommon,Common x 4 Uncommon x 2,10,"plus 1 CD Damage, gain Persistent",,
Baseball Bat Mods,,,,,,,,,,,,
Baseball Bat,,,,,,,1,,25,"4CD Phys, Two-Handed",3,
Aluminum Baseball Bat,,,,,,,2,,32,"5CD Phys, Two-Handed (Can only apply mods with Blacksmith 1+)",2,
Barbed,,,1,,,Repair,Common,Common x 2,5,gain Piercing 1,,
Spiked,,,2,,,Repair,Common,Common x 3,7,"plus 1 CD Damage, gain Piercing 1",1,
Sharp,,,2,,,Repair,Common,Common x 3,7,"plus 1 CD Damage, gain Persistent",1,
Chain-Wrapped,,,3,Blacksmith 1,,Repair,Uncommon,Common x 4 Uncommon x 2,10,plus 2 CD Damage,1,
Bladed,,,4,Blacksmith 2,,Repair,Uncommon,Common x 5 Uncommon x 3,12,"plus 2 CD Damage, gain Persistent",2,
Board Mods,,,,,,,,,,,,
Board,,,,,,,0,,20,"4CD Phys, Two-Handed",3,
Spiked,,,1,,,Repair,Common,Common x 2,6,"plus 1 CD Damage, gain Piercing 1",1,
Puncturing,,,2,Blacksmith 1,,Repair,Uncommon,Common x 3,9,plus 2 CD Damage,1,
Bladed,,,2,Blacksmith 1,,Repair,Uncommon,Common x 3,10,"plus 2 CD Damage, gain Persistent",2,
Lead Pipe Mods,,,,,,,,,,,,
Lead Pipe,,,,,,,0,,15,3CD Phys,3,
Spiked,,,1,,,Repair,Common,Common x 2,4,"plus 1 CD Damage, gain Piercing 1",1,
Heavy,,,3,Blacksmith 2,,Repair,Uncommon,Common x 4 Uncommon x 2,11,plus 2 CD Damage,2,
Pipe Wrench Mods,,,,,,,,,,,,
Pipe Wrench,,,,,,,1,,30,3CD Phys,2,
Hooked,,,1,,,Repair,Common,Common x 2,9,"plus 1 CD Damage, On succesful attack, spend 2 AP to disarm 1 weapon",,
Heavy,,,2,Blacksmith 1,,Repair,Uncommon,Common x 3,12,plus 2 CD Damage,7,
Puncturing,,,2,Blacksmith 1,,Repair,Uncommon,Common x 3,13,"plus 2 CD Damage, gain Piercing 1",1,
